country,total_infected,deaths,deaths/1million
China,82718,3335,2.317060313745557
France,110065,10343,158.45631469096247
Germany,107663,2016,24.06189004570828
Italy,135586,17127,283.2696452138247
Japan,3906,92,0.7274080826787207
Spain,141942,14045,300.39710593856313
US,396223,12722,38.43473749096952
