"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 30, 2019","19,771.55","19,728.71","19,771.55","19,669.77","376.03M","0.36%"
"Jan 29, 2019","19,701.60","19,593.97","19,771.13","19,559.64","391.27M","0.48%"
"Jan 28, 2019","19,608.13","19,734.95","19,776.29","19,569.24","378.10M","-1.02%"
"Jan 25, 2019","19,810.52","19,671.72","19,824.80","19,651.87","426.66M","1.26%"
"Jan 24, 2019","19,564.48","19,417.34","19,663.45","19,376.96","527.08M","0.85%"
"Jan 23, 2019","19,400.15","19,351.27","19,555.00","19,277.33","489.15M","-0.19%"
"Jan 22, 2019","19,437.27","19,522.59","19,584.22","19,412.60","664.41M","-1.03%"
"Jan 21, 2019","19,638.64","19,606.19","19,638.64","19,529.68","388.30M","-0.35%"
"Jan 18, 2019","19,708.06","19,636.71","19,723.00","19,542.96","786.97M","1.22%"
"Jan 17, 2019","19,470.38","19,357.08","19,511.86","19,314.34","353.53M","-0.04%"
"Jan 16, 2019","19,477.77","19,253.44","19,477.77","19,241.00","441.88M","1.63%"
"Jan 15, 2019","19,165.48","19,316.11","19,379.20","19,028.48","478.39M","-0.03%"
"Jan 14, 2019","19,171.48","19,163.26","19,235.23","19,016.16","352.63M","-0.61%"
"Jan 11, 2019","19,290.09","19,372.75","19,385.60","19,187.38","368.92M","-0.06%"
"Jan 10, 2019","19,300.74","19,100.51","19,300.74","19,037.52","365.59M","0.63%"
"Jan 09, 2019","19,179.16","19,151.96","19,297.11","19,125.35","421.75M","0.94%"
"Jan 08, 2019","19,000.14","18,978.14","19,193.13","18,922.45","411.45M","0.25%"
"Jan 07, 2019","18,953.27","18,917.43","18,968.04","18,800.20","337.62M","0.65%"
"Jan 04, 2019","18,831.79","18,375.60","18,832.17","18,373.35","427.68M","3.37%"
"Jan 03, 2019","18,218.40","18,211.83","18,425.18","18,152.75","432.40M","-0.61%"
"Jan 02, 2019","18,330.99","18,191.76","18,409.72","17,959.39","354.55M","0.04%"
